ref_area,ilo_region.label,ilo_subregion_broad.label,ilo_subregion_detailed.label,wb_income_group.label,ref_area.label,sex,time,Total employment (thousands),1. Managers (thousands),2. Professionals  (thousands),3. Technicians and associate professionals (thousands),4. Clerical support workers (thousands),5. Service and sales workers (thousands),7. Craft and related trades workers (thousands),"8. Plant and machine operators, and assemblers (thousands)","96. Elementary occupations and skilled agricultural, forestry and fishery workers (thousands)",1. Managers (%),2. Professionals  (%),3. Technicians and associate professionals (%),4. Clerical support workers (%),5. Service and sales workers (%),7. Craft and related trades workers (%),"8. Plant and machine operators, and assemblers (%)","96. Elementary occupations and skilled agricultural, forestry and fishery workers (%)"
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2000,1084.329,64.176,101.323,86.29,25.791,80.671,72.849,55.228,598.002,5.918,9.344,7.958,2.378,7.44,6.718,5.093,55.149
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Male,2000,597.053,51.037,39.754,33.945,7.79,46.384,60.545,52.554,305.043,8.548,6.658,5.685,1.305,7.769,10.141,8.802,51.092
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Female,2000,487.276,13.138,61.57,52.344,18.001,34.287,12.304,2.673,292.959,2.696,12.635,10.742,3.694,7.036,2.525,0.549,60.122
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2001,1087.939,64.972,105.001,84.851,27.053,82.934,76.715,53.744,592.669,5.972,9.651,7.799,2.487,7.623,7.051,4.94,54.476
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Male,2001,595.649,50.941,40.547,33.121,8.126,46.892,63.577,51.189,301.255,8.552,6.807,5.561,1.364,7.872,10.674,8.594,50.576
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Female,2001,492.289,14.03,64.454,51.73,18.926,36.041,13.138,2.555,291.414,2.85,13.093,10.508,3.845,7.321,2.669,0.519,59.196
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2002,1089.765,65.565,105.97,84.556,29.288,87.512,85.808,53.948,577.118,6.016,9.724,7.759,2.688,8.03,7.874,4.95,52.958
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Male,2002,594.282,50.586,39.604,32.834,8.754,48.605,70.802,51.38,291.718,8.512,6.664,5.525,1.473,8.179,11.914,8.646,49.087
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Female,2002,495.484,14.979,66.365,51.723,20.534,38.907,15.006,2.568,285.401,3.023,13.394,10.439,4.144,7.852,3.029,0.518,57.6
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2003,1092.313,69.434,106.63,84.126,31.61,92.125,95.577,54.721,558.091,6.357,9.762,7.702,2.894,8.434,8.75,5.01,51.093
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Male,2003,593.243,52.392,38.312,32.191,9.382,50.075,78.721,52.09,280.08,8.832,6.458,5.426,1.581,8.441,13.27,8.78,47.212
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Female,2003,499.07,17.041,68.318,51.935,22.228,42.049,16.856,2.632,278.011,3.415,13.689,10.406,4.454,8.426,3.377,0.527,55.706
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2004,1096.977,74.257,109.866,83.083,33.053,95.196,100.743,52.329,548.45,6.769,10.015,7.574,3.013,8.678,9.184,4.77,49.997
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Male,2004,592.966,54.858,38.617,31.366,9.793,50.842,83.089,49.936,274.464,9.252,6.513,5.29,1.652,8.574,14.012,8.421,46.287
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Female,2004,504.011,19.398,71.249,51.717,23.26,44.353,17.654,2.392,273.986,3.849,14.136,10.261,4.615,8.8,3.503,0.475,54.361
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2005,1103.675,76.96,110.861,83.942,35.614,101.124,111.394,53.566,530.215,6.973,10.045,7.606,3.227,9.162,10.093,4.853,48.041
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Male,2005,594.76,55.721,37.516,31.513,10.525,52.978,91.594,51.091,263.821,9.369,6.308,5.298,1.77,8.908,15.4,8.59,44.358
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Female,2005,508.915,21.239,73.345,52.428,25.089,48.145,19.799,2.476,266.393,4.173,14.412,10.302,4.93,9.46,3.891,0.486,52.345
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2006,1109.815,81.675,115.873,83.59,37.149,105.99,117.271,50.513,517.755,7.359,10.441,7.532,3.347,9.55,10.567,4.551,46.652
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Male,2006,595.832,57.866,38.527,31.202,11.064,54.608,96.596,48.347,257.622,9.712,6.466,5.237,1.857,9.165,16.212,8.114,43.237
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Female,2006,513.983,23.809,77.346,52.388,26.085,51.383,20.675,2.165,260.133,4.632,15.048,10.192,5.075,9.997,4.022,0.421,50.611
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2007,1117.373,85.97,121.63,83.629,38.573,111.099,121.926,49.289,505.256,7.694,10.885,7.484,3.452,9.943,10.912,4.411,45.218
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Male,2007,597.686,59.592,39.805,31.107,11.593,56.248,100.579,47.26,251.503,9.97,6.66,5.205,1.94,9.411,16.828,7.907,42.08
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Female,2007,519.687,26.378,81.826,52.522,26.98,54.851,21.348,2.029,253.753,5.076,15.745,10.106,5.192,10.555,4.108,0.39,48.828
ARM,Europe and Central Asia,Central and Western Asia,Western Asia,Upper-middle income,Armenia,Total,2008,1075.535,90.18,120.084,80.495,37.193,109.405,119.85,47.154,471.174,8.385,11.165,7.484,3.458,10.172,11.143,4.384,43.808
