,X,A2,A3,A5,A7,A8,B3,Age,B7,B9,B11,B12,C2,C12,E2_9group,E4_21group,E6,E7,E9,E10,E13,E13_1,E14_1,E14_2,E14_Result,E16,E17,E22,E23,E24,G1_1,G1_2,Weights_1,WeightsCalib_1,Weights_Year,WeightsCalib_Year,resident,nonresident,LR_WAP,LF,PNLF,empj,underemployed,iempj,emsj,iemsj,LU1_unemployed,LU2_combined,LU3_potential,LU4_composite,long_term_unemployed
3,3,5,1,1,4,3,2,47,5,2,2,5,1,1,7,7,2,4,1,3,1,1,60000,0,1,4,1,1,7,1,48,0,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,8,1,1,2,2,1,50,7,2,2,5,1,1,7,6,2,4,3,3,1,1,150000,0,1,4,2,1,7,1,60,0,1271.8760640109,399.404988522257,310.949046883526,131.6513016544,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
40,40,4,2,1,5,4,1,30,6,2,2,5,1,1,3,10,3,4,3,3,1,2,2E+05,0,1,4,1,1,6,1,40,0,397.599700710812,434.704088205906,110.405818181818,92.0605626335964,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
47,47,1,2,2,3,2,1,59,5,2,2,5,1,1,6,1,1,4,3,3,1,2,2E+05,0,1,4,1,4,7,1,35,0,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
49,49,2,2,2,3,3,1,61,5,2,2,5,1,1,6,1,1,4,3,3,1,3,150000,0,1,4,1,4,7,2,28,0,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
50,50,2,2,2,3,3,2,59,5,2,2,5,1,1,6,1,1,4,3,3,1,3,1E+05,0,1,4,1,4,7,2,21,0,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
52,52,5,2,2,4,3,2,46,5,2,3,5,1,1,6,1,1,4,3,3,1,2,250000,0,1,4,1,4,7,1,42,0,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
54,54,8,2,2,5,4,2,36,5,2,2,5,1,1,6,1,4,3,3,3,1,2,150000,0,1,4,1,4,7,2,32,0,259.213690691778,227.789773626311,62.4401500610714,51.4155150911438,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
58,58,2,2,2,3,2,1,49,5,2,2,5,1,1,6,1,1,4,3,3,1,2,3E+05,1E+05,5,6,1,4,7,2,30,0,374.41977544368,204.234262045759,90.191327865992,56.3307324479933,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
61,61,6,2,2,6,4,1,48,5,2,2,5,1,1,6,1,1,4,3,3,1,2,150000,80000,5,6,1,4,7,2,28,0,374.41977544368,204.234262045759,90.191327865992,56.3307324479933,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
