"","A2","A3","A5","A7","A8","B3","Age","B7","B9","B11","B12","C2","C12","E2_9group","E4_21group","E6","E7","E8_a","E8_b","E8_c","E8_d","E8_e","E8_f","E8_g","E8_h","E8_i","E9","E10","E13","E13_1","E14_1","E14_2","E14_Result","E15","E16","E17","E22","E23","E24","G1_1","G1_2","J8","J9","J10_1","J10_2","J11_1","J11_2","J12_14group","J13","J14","J15","J15_Year","J16","J17_10group","J18","J19","J20","J21","J22","Weights_1","WeightsCalib_1","Weights_Year","WeightsCalib_Year","resident","nonresident","LR_WAP","LF","PNLF","empj","underemployed","iempj","emsj","iemsj","LU1_unemployed","LU2_combined","LU3_potential","LU4_composite","long_term_unemployed"
"1",2,1,1,3,2,2,45,6,2,4,5,1,1,5,7,2,1,2,1,2,2,2,2,2,2,2,NA,3,1,4,60000,0,1,NA,4,1,1,7,1,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5,1,1,4,3,1,54,5,2,2,5,1,1,5,8,2,1,1,1,1,1,2,1,1,2,2,NA,1,NA,NA,90000,0,1,NA,4,1,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",5,1,1,4,3,2,47,5,2,2,5,1,1,7,7,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,60000,0,1,NA,4,1,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",7,1,1,2,2,1,61,10,2,2,3,1,1,9,13,2,1,1,1,1,1,2,1,1,2,2,NA,3,5,NA,65000,0,1,NA,4,2,1,6,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",7,1,1,2,2,2,59,7,2,2,5,1,1,3,13,2,1,1,1,1,1,2,1,1,2,2,NA,3,5,NA,70000,0,1,NA,4,1,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",9,1,1,2,2,1,54,5,2,2,5,1,1,5,7,2,1,1,1,1,1,2,1,1,2,2,NA,3,5,NA,1e+05,0,1,NA,4,1,1,7,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",9,1,1,2,2,2,54,7,2,2,5,1,1,3,17,2,1,1,1,1,1,2,1,1,2,2,NA,3,5,NA,1e+05,0,1,NA,4,1,1,7,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",10,1,1,2,2,2,38,7,2,1,5,1,1,3,17,2,1,1,1,1,1,2,1,1,2,2,NA,3,6,NA,72000,0,1,NA,4,1,1,7,1,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.423901940756,438.894862700827,150.459216233964,116.341876094865,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,1,2,1,2,44,7,2,1,5,1,1,3,17,2,1,1,1,1,1,2,2,1,2,2,NA,3,4,NA,40000,0,1,NA,4,1,1,7,2,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933.39291794348,189.867563372286,228.196477954846,22.7999999999987,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",3,1,1,3,3,2,44,10,2,2,5,1,1,2,17,2,1,1,1,1,1,2,2,1,2,2,NA,3,6,NA,28000,0,1,NA,4,1,1,7,1,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933.39291794348,189.867563372286,228.196477954846,22.7999999999987,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
